"Label (Grouping)","Alameda County, California!!Estimate","Alpine County, California!!Estimate","Amador County, California!!Estimate","Butte County, California!!Estimate","Calaveras County, California!!Estimate","Colusa County, California!!Estimate","Contra Costa County, California!!Estimate","Del Norte County, California!!Estimate","El Dorado County, California!!Estimate","Fresno County, California!!Estimate","Glenn County, California!!Estimate","Humboldt County, California!!Estimate","Imperial County, California!!Estimate","Inyo County, California!!Estimate","Kern County, California!!Estimate","Kings County, California!!Estimate","Lake County, California!!Estimate","Lassen County, California!!Estimate","Los Angeles County, California!!Estimate","Madera County, California!!Estimate","Marin County, California!!Estimate","Mariposa County, California!!Estimate","Mendocino County, California!!Estimate","Merced County, California!!Estimate","Modoc County, California!!Estimate","Mono County, California!!Estimate","Monterey County, California!!Estimate","Napa County, California!!Estimate","Nevada County, California!!Estimate","Orange County, California!!Estimate","Placer County, California!!Estimate","Plumas County, California!!Estimate","Riverside County, California!!Estimate","Sacramento County, California!!Estimate","San Benito County, California!!Estimate","San Bernardino County, California!!Estimate","San Diego County, California!!Estimate","San Francisco County, California!!Estimate","San Joaquin County, California!!Estimate","San Luis Obispo County, California!!Estimate","San Mateo County, California!!Estimate","Santa Barbara County, California!!Estimate","Santa Clara County, California!!Estimate","Santa Cruz County, California!!Estimate","Shasta County, California!!Estimate","Sierra County, California!!Estimate","Siskiyou County, California!!Estimate","Solano County, California!!Estimate","Sonoma County, California!!Estimate","Stanislaus County, California!!Estimate","Sutter County, California!!Estimate","Tehama County, California!!Estimate","Trinity County, California!!Estimate","Tulare County, California!!Estimate","Tuolumne County, California!!Estimate","Ventura County, California!!Estimate","Yolo County, California!!Estimate","Yuba County, California!!Estimate","Allegany County, Maryland!!Estimate","Anne Arundel County, Maryland!!Estimate"
"Total:","1,192,437","1,112","32,875","135,188","35,917","14,077","816,152","19,816","142,436","636,203","18,378","93,031","111,419","13,770","563,569","96,271","48,884","22,345","6,917,487","101,462","189,753","13,344","65,093","174,127","6,415","10,217","281,390","97,520","79,518","2,217,917","297,631","15,180","1,649,835","1,097,404","44,349","1,421,562","2,281,385","661,758","513,773","190,352","542,805","278,364","1,347,266","178,903","128,897","2,096","32,155","315,641","354,661","354,367","65,188","44,633","12,461","287,690","41,675","580,810","131,208","53,788","47,738","414,741"
"    Male:","585,785","580","18,004","66,523","17,752","7,208","395,117","10,661","70,457","315,366","9,297","45,838","57,025","6,915","285,062","54,620","24,209","14,193","3,383,875","48,678","92,016","6,768","32,064","87,414","3,259","5,440","143,449","48,292","38,782","1,085,412","143,508","7,543","820,117","531,034","22,316","699,473","1,136,204","341,419","253,434","94,382","267,115","138,660","683,464","88,569","62,311","1,051","15,806","154,922","172,152","174,420","31,991","21,942","5,979","142,303","21,444","286,067","64,014","26,898","25,003","201,900"
"        No schooling completed","18,026","0","218","1,254","248","539","10,950","149","773","16,106","385","580","2,350","36","11,770","1,795","432","223","154,400","3,092","2,248","57","852","5,671","124","33","6,617","2,511","384","35,385","1,327","141","27,627","18,753","825","24,934","28,968","10,996","12,626","1,398","8,450","5,214","19,740","2,094","783","0","149","3,367","5,181","7,920","1,766","561","65","8,336","273","9,037","1,613","1,229","182","3,232"
"        Nursery to 4th grade","4,069","0","72","354","0","268","2,251","82","31","6,395","408","179","1,237","48","6,181","1,340","210","169","55,784","1,631","721","15","228","2,806","47","32","3,910","579","63","8,515","216","6","10,612","3,077","205","7,669","7,820","2,127","3,759","524","1,959","3,073","4,936","1,418","72","0","113","846","2,118","2,496","215","355","0","4,010","14","3,826","505","154","29","332"
"        5th and 6th grade","10,176","8","151","545","10","455","6,799","179","342","11,300","407","399","2,040","63","12,733","2,971","260","450","122,876","3,038","1,085","80","796","5,425","67","108","11,650","1,302","76","19,405","516","33","25,013","6,311","750","19,318","15,991","4,009","9,036","1,345","4,203","6,392","10,876","2,436","265","22","137","1,919","4,339","7,165","668","301","0","8,052","19","10,707","1,429","254","75","659"
"        7th and 8th grade","4,656","0","215","493","51","60","2,526","60","161","4,697","229","331","1,662","25","7,377","1,188","499","410","49,332","936","625","4","634","2,723","55","8","3,230","781","31","12,675","423","8","9,689","4,555","373","9,322","8,658","3,080","4,645","625","1,995","2,232","5,032","846","340","17","109","2,105","1,407","3,420","834","386","164","3,483","80","2,640","1,011","347","261","1,257"
"        9th grade","7,694","1","217","476","138","135","3,498","123","337","5,411","258","321","3,112","33","6,329","990","205","573","70,218","1,214","838","84","260","2,509","58","153","6,659","616","316","12,636","375","2","15,363","3,893","422","14,109","9,949","3,231","3,373","808","1,962","2,716","6,307","1,184","541","7","202","1,363","1,660","2,926","417","244","134","3,102","153","3,763","574","283","578","1,651"
"        10th grade","4,249","4","389","873","375","63","2,834","253","412","8,187","211","239","1,635","147","4,464","1,662","283","746","37,211","1,093","486","14","464","1,577","86","3","2,054","262","190","9,735","486","85","8,968","5,220","121","10,235","8,317","1,550","4,227","1,014","1,787","1,109","4,174","617","558","16","189","1,857","1,376","3,037","812","329","15","2,233","262","3,769","338","402","846","2,041"
"        11th grade","3,743","0","734","1,309","424","239","3,339","366","440","6,589","135","883","2,238","152","9,099","2,356","548","1,068","49,248","1,286","420","233","541","1,967","34","6","3,143","419","272","9,992","1,246","13","13,848","7,159","220","17,228","12,376","1,925","4,819","1,328","1,651","2,186","5,276","708","1,008","0","206","2,495","1,183","3,927","514","445","165","3,508","778","3,586","966","354","519","2,123"
"        12th grade, no diploma","13,302","11","474","2,100","548","297","11,529","636","1,179","12,026","337","1,236","2,106","78","12,517","2,609","828","660","119,058","1,933","1,057","212","729","3,472","153","211","4,830","1,718","840","32,839","2,411","210","30,746","16,799","687","27,163","29,232","7,158","9,886","1,670","5,596","3,903","13,970","1,740","1,662","17","270","4,863","5,400","6,776","1,276","505","104","5,476","305","7,734","1,696","974","423","3,273"
