"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2024
01001,"Autauga, AL",55710
01003,"Baldwin, AL",63905
01005,"Barbour, AL",44906
01007,"Bibb, AL",41951
01009,"Blount, AL",48543
01011,"Bullock, AL",39403
01013,"Butler, AL",53320
01015,"Calhoun, AL",47333
01017,"Chambers, AL",43944
01019,"Cherokee, AL",47994
01021,"Chilton, AL",48183
01023,"Choctaw, AL",49151
01025,"Clarke, AL",49608
01027,"Clay, AL",42162
01029,"Cleburne, AL",47223
01031,"Coffee, AL",56824
01033,"Colbert, AL",48831
01035,"Conecuh, AL",45620
01037,"Coosa, AL",43813
01039,"Covington, AL",47143
01041,"Crenshaw, AL",52962
01043,"Cullman, AL",53577
01045,"Dale, AL",48767
01047,"Dallas, AL",48214
01049,"DeKalb, AL",45152
01051,"Elmore, AL",55485
01053,"Escambia, AL",45432
01055,"Etowah, AL",47787
01057,"Fayette, AL",45612
01059,"Franklin, AL",44751
01061,"Geneva, AL",46556
01063,"Greene, AL",43030
01065,"Hale, AL",48326
01067,"Henry, AL",56661
01069,"Houston, AL",57714
01071,"Jackson, AL",48078
01073,"Jefferson, AL",75312
01075,"Lamar, AL",44886
01077,"Lauderdale, AL",49560
01079,"Lawrence, AL",47190
01081,"Lee, AL",50811
01083,"Limestone, AL",59614
01085,"Lowndes, AL",58121
01087,"Macon, AL",44788
01089,"Madison, AL",69038
01091,"Marengo, AL",52576
01093,"Marion, AL",47179
01095,"Marshall, AL",51209
01097,"Mobile, AL",53901
01099,"Monroe, AL",46759
01101,"Montgomery, AL",57265
01103,"Morgan, AL",52318
01105,"Perry, AL",44524
01107,"Pickens, AL",45013
01109,"Pike, AL",51706
01111,"Randolph, AL",45447
01113,"Russell, AL",43971
01115,"St. Clair, AL",54878
01117,"Shelby, AL",74513
01119,"Sumter, AL",43035
01121,"Talladega, AL",45757
01123,"Tallapoosa, AL",55117
01125,"Tuscaloosa, AL",46696
01127,"Walker, AL",54820
01129,"Washington, AL",50546
01131,"Wilcox, AL",44610
01133,"Winston, AL",47281
02010,"Aleutian Islands Census Area, AK*",(NA)
02013,"Aleutians East Borough, AK*",49624
02016,"Aleutians West Census Area, AK*",69676
02020,"Anchorage Municipality, AK",84370
02050,"Bethel Census Area, AK*",50706
02060,"Bristol Bay Borough, AK",158406
02063,"Chugach Census Area, AK*",74430
02066,"Copper River Census Area, AK*",64258
02068,"Denali Borough, AK*",134417
02070,"Dillingham Census Area, AK*",66350
02090,"Fairbanks North Star Borough, AK",75191
02100,"Haines Borough, AK*",100738
02105,"Hoonah-Angoon Census Area, AK*",77925
02110,"Juneau City and Borough, AK",88889
02122,"Kenai Peninsula Borough, AK*",67429
02130,"Ketchikan Gateway Borough, AK*",85247
02150,"Kodiak Island Borough, AK",76286
